vendor_name,import_year,total_spend,num_transactions,num_categories,mean_approval_delay,mean_fulfillment_delay,anomaly_score,is_anomaly,pca_1,pca_2
R C GOODWYN AND SONS INC,2023,95.0,1,1,0.0,0.0,0.19533116246191395,False,-0.27900733699226676,-0.9052497218342586
R&R OFFICE SOLUTIONS,2017,2405.02,10,4,1.2962962962962963,22.894736842105264,0.19023369051771594,False,-0.0798138399286968,-0.4256002502503636
R&R OFFICE SOLUTIONS,2019,885.6,1,1,6.0,43.0,0.16284585432364518,False,-0.47445608727109934,0.687293336390702
RAGSDALE BUILDING SUPPLY CTR INC,2016,2120.2,3,5,2.857142857142857,23.571428571428573,0.1940112558575891,False,-0.16245779930555004,-0.10187643811838155
RAGSDALE BUILDING SUPPLY CTR INC,2017,7425.09,4,6,1.411764705882353,28.09090909090909,0.19581307446638485,False,-0.07624309753989529,-0.35929823170929676
RAGSDALE BUILDING SUPPLY CTR INC,2018,290.0,1,2,0.0,91.0,0.1721655388210231,False,-0.36287828549335804,-0.1704726613002685
RAGSDALE BUILDING SUPPLY CTR INC,2020,498.71,2,7,2.4,36.0,0.1806108250339321,False,-0.08998572861265666,-0.09047437761494505
RAPPAHANNOCK RAPIDAN COMMUNITY SEVICES B,2016,23000.0,1,1,1.0,56.0,0.18800631398172113,False,-0.3804066046574885,-0.24332854534447348
RAWLINGS BROTHERS GARAGE & TOWING INC,2022,3000.0,2,1,5.0,0.0,0.1802230657538258,False,-0.3769117282734071,0.13612973436091533
RAY ALLEN MANUFACTURING LLC,2020,418.87,1,2,1.0,5.0,0.20169572408885295,False,-0.2616573009964037,-0.6529568503550415
RBM HOSPITALITY GROUP INC,2021,272.0,1,1,1.0,1.0,0.19934700584432397,False,-0.3027236340905299,-0.6893206914912066
RE REPLACEMENT PARTS,2016,12945.03,37,59,0.4666666666666667,7.333333333333333,0.024836748900941785,False,2.8970406268551234,-0.4487328514634946
RE REPLACEMENT PARTS,2017,36039.85,64,93,0.99,12.6,-0.047415948285163934,True,4.831697271725156,-0.10967191923702252
RE REPLACEMENT PARTS,2018,42965.880000000005,19,33,1.7,53.82857142857143,0.082422944414975,False,1.3467818961946594,0.05040613383745561
RE REPLACEMENT PARTS,2019,46570.08,47,100,2.5508982035928143,17.818181818181817,-0.04602006706440931,True,4.890154455582784,0.26324535460121057
RE REPLACEMENT PARTS,2020,27711.07,61,68,1.584070796460177,22.263157894736842,0.0030079875001040035,False,3.5939009544197758,-0.02028657955306702
RE REPLACEMENT PARTS,2021,42272.76,122,124,0.943217665615142,26.808695652173913,-0.1068322223505197,True,7.039655540671388,0.21239616274490417
RECO BIOTECHNOLOGY,2017,6389.0,5,3,5.166666666666667,1.0,0.1625950977435412,False,-0.24812142935420758,0.19234237561184087
REDWINE INTERNATIONAL INC,2016,22392.75,10,2,4.8,12.75,0.16350927501648949,False,-0.23580328369022446,0.21674888083251329
REDWINE INTERNATIONAL INC,2017,54165.324,15,2,2.054054054054054,10.44,0.17207595514149937,False,-0.10255302109329799,-0.35895821058110805
REDWINE INTERNATIONAL INC,2018,19798.37,8,1,1.2777777777777777,12.38888888888889,0.19526347445161518,False,-0.23048587714013052,-0.5259870849156203
